filename,face,distance_m,ground_truth_mm,detected_mm,extension_pixels,tip_x
10m1cm1.bmp,2面,10,10,0.0,0,1804
10m1cm2.bmp,2面,10,10,0.0,0,1804
10m1cm3.bmp,2面,10,10,0.0,0,1804
10m2cm1.bmp,2面,10,20,0.0,0,1804
10m2cm2.bmp,2面,10,20,0.0,0,1804
10m2cm3.bmp,2面,10,20,0.0,0,1804
10m5mm04.bmp,2面,10,5,0.0,0,1804
10m5mm1.bmp,2面,10,5,0.0,0,1804
10m5mm2.bmp,2面,10,5,0.0,0,1804
10m5mm3.bmp,2面,10,5,0.0,0,1804
20m1cm1.bmp,2面,20,10,0.0,0,1804
20m1cm2.bmp,2面,20,10,0.0,0,1804
20m1cm3.bmp,2面,20,10,0.0,0,1804
20m2cm1.bmp,2面,20,20,0.0,0,1804
20m2cm2.bmp,2面,20,20,0.0,0,1804
20m2cm3.bmp,2面,20,20,0.0,0,1804
20m5mm1.bmp,2面,20,5,0.0,0,1804
20m5mm2.bmp,2面,20,5,0.0,0,1804
20m5mm3.bmp,2面,20,5,0.0,0,1804
